StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q5,Q7,Q9,Q11,Q9,Q10,Q9,Q13
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Thank you for taking the time to complete this survey.  For our research, we are interested in knowing certain facts about you. Specifically, we are interested in whether you read directions carefully. So, in order to show us that you have read the instructions, please ignore this first question about attending university (don't answer it).  Also, please copy and paste the words É??I have read the instructionsÉ?ù (without the quotation marks) in the box labeled ""Any comments or questions?"" Thank you very much. 
Have you attended university?",Any comments or questions?,"Please read the following story and answer the questions that follow.
Joe is taking his
daily walk near the train tracks when he notices that an empty runaway train is
approaching. The train is rushing towards a man, who is walking across the
tracks. It is moving so fast that he will not be able to get off the tracks in
time. Joe is standing next to a switch, which he can throw, that will turn the
train onto a side track, thereby preventing it from killing the man. There are
five men on the side track. Hank can throw the switch, killing the five men; or
he can refrain from doing this, letting the man on the main track die. Joe then recognizes that the man is someone who he deeply cares about. Joe thinks to himself, É??This is my chance to save that man.É?ù Joe throws the switch.


Is it morally
permissible for Joe to throw the switch?",Why do you think Joe threw the switch?,"Please read the following story and answer the questions that follow.
Mark is taking his
daily walk near the train tracks when he notices that an empty runaway train is
approaching. The train is rushing towards a man, who is walking across the
tracks. It is moving so fast that he will not be able to get off the tracks in
time. Mark is standing next to a switch, which he can throw, that will turn the
train onto a side track, thereby preventing it from killing the man. There are
five men on the side track. Mark can throw the switch, killing the five men; or
he can refrain from doing this, letting the man on the main track die. Mark then recognizes that the men on the side track are people who he hates with a passion. Mark thinks to himself, É??This is my chance to kill those bastards.É?ù Mark throws the switch.


Is it morally
permissible for Mark to throw the switch?",Why do you think Mark threw the switch?,"Please read the following story and answer the questions that follow.
Hank is taking his
daily walk near the train tracks when he notices that an empty runaway train is
approaching. The train is rushing towards a man, who is walking across the
tracks. It is moving so fast that he will not be able to get off the tracks in
time. Hank is standing next to a switch, which he can throw, that will turn the
train onto a side track, thereby preventing it from killing the man. There are
five men on the side track. Hank can throw the switch, killing the five men; or
he can refrain from doing this, letting the man on the main track die. Hank
throws the switch.


Is it morally
permissible for Hank to throw the switch?",Why do you think Hank threw the switch?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID7""}","{""ImportId"":""QID9""}"
11/24/2017 13:26,11/24/2017 13:27,0,*******,100,75,1,11/24/2017 13:27,R_12hFgj9BCiydsIH,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,0,0,,
11/24/2017 13:26,11/24/2017 13:27,0,*******,100,53,1,11/24/2017 13:27,R_12nxxSHfliF1Jnq,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,0,1,,,,
11/24/2017 13:28,11/24/2017 13:28,0,*******,100,51,1,11/24/2017 13:28,R_12SvVy0lWmAaBKl,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,0,0,,
11/24/2017 12:48,11/24/2017 12:50,0,*******,100,105,1,11/24/2017 12:50,R_1C2P6DJ7uvVP2cK,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,0,1,,,,
11/24/2017 12:35,11/24/2017 12:39,0,*******,100,238,1,11/24/2017 12:39,R_1Cd4KB9EwtAJbW0,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,0,1,,,,
11/23/2017 0:49,11/23/2017 0:49,0,*******,100,38,1,11/23/2017 0:49,R_1d9Mg0jt27pKwaY,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,,,1,1
11/22/2017 22:34,11/22/2017 22:35,0,*******,100,60,1,11/22/2017 22:35,R_1dGrM9kkRtokELM,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,,,0,0
11/23/2017 0:35,11/23/2017 0:38,0,*******,100,181,1,11/23/2017 0:38,R_1DoKcgNB4q9TzTv,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,,,0,1
